id,first_name,last_name,email,gender,CRM ID,Products,Postal Code,Profiling Consents,Comms. Consents,Loyalty Program,Loyalty Status
27,Vale,Bayford,vbayfordq@ocn.ne.jp,,43269-612,"[{2023-04-01,Telefonía,P-001,2024-03-31},{2023-06-01,Fibra,P-002,2025-03-31},{2023-09-11,TV,P-003,4000-03-31},{2023-04-01,Segunda línea - Telefonía,P-004,2027-03-31},{2023-09-01,Pack Fútbol,P-005,2030-03-31},{2023-06-01,Segunda línea - Fibra,P-006,2030-03-31}]",68499.0,False,0.0,True,Diamond
28,Horace,Code,hcoder@un.org,Male,0378-0414,"[{2023-04-01,Telefonía,P-001,2024-03-31},{2023-06-01,Fibra,P-002,2025-03-31},{2023-09-11,TV,P-003,4000-03-31},{2023-04-01,Segunda línea - Telefonía,P-004,2027-03-31},{2023-09-01,Pack Fútbol,P-005,2030-03-31},{2023-06-01,Segunda línea - Fibra,P-006,2030-03-31}]",,True,1.0,True,Gold
29,Kippy,McKissack,,,54575-467,"[{2023-04-01,Telefonía,P-001,2025-03-31}",,True,1.0,False,
30,Brok,Tierney,btierneyt@admin.ch,,21695-717,"[{2023-04-01,Telefonía,P-001,2024-03-31},{2023-06-01,Fibra,P-002,2025-03-31},{2023-09-11,TV,P-003,4000-03-31},{2023-04-01,Segunda línea - Telefonía,P-004,2027-03-31},{2023-09-01,Pack Fútbol,P-005,2030-03-31},{2023-06-01,Segunda línea - Fibra,P-006,2030-03-31}]",10332.0,False,1.0,True,Silver
31,Tommie,Dorkens,tdorkensu@mac.com,Female,54868-5847,"[{2023-04-01,Telefonía,P-001,2025-03-31}",,False,1.0,False,
32,Rheba,McQuillin,,,43598-321,"[{2023-04-01,Telefonía,P-001,2025-03-31}",,True,0.0,False,
33,Joanie,Inker,jinkerw@themeforest.net,,0409-0182,"[{2024-24-01,Telefonía,P-001,4000-03-31}",,True,1.0,True,Bronze
34,Nevsa,Chardin,nchardinx@hubpages.com,,41499-105,"[{2023-04-01,Telefonía,P-001,2025-03-31}",67557.0,True,0.0,False,
35,Dion,Girkin,dgirkiny@privacy.gov.au,,76449-050,"[{2023-04-01,Telefonía,P-001,2025-03-31}",,False,0.0,False,
36,Marney,Wilmington,mwilmingtonz@mapy.cz,,13537-249,"[{2023-04-01,Telefonía,P-001,2025-03-31}",,False,0.0,False,
37,Angelina,Rhead,arhead10@nasa.gov,,64117-128,"[{2023-04-01,Telefonía,P-001,2025-03-31}",,False,0.0,False,
38,Hayden,Ockland,hockland11@blogger.com,,37205-138,"[{2023-04-01,Telefonía,P-001,2025-03-31}",,True,1.0,False,
39,Justen,Schukraft,jschukraft12@seesaa.net,Male,65044-5130,"[{2023-04-01,Telefonía,P-001,2025-03-31}",45866.0,True,1.0,False,
40,Zsazsa,Risson,zrisson13@issuu.com,,41520-532,"[{2023-04-01,Telefonía,P-001,2025-03-31}",,True,1.0,False,
41,Maddi,Scemp,mscemp14@google.es,,62187-0001,"[{2024-24-01,Telefonía,P-001,4000-03-31}",,False,0.0,True,Bronze
42,Maggi,Thornebarrow,mthornebarrow15@etsy.com,,0113-0110,"[{2024-24-01,Telefonía,P-001,4000-03-31}",37581.0,False,0.0,True,Bronze
43,Godfree,Dymick,gdymick16@wiley.com,,55289-694,"[{2023-04-01,Telefonía,P-001,2024-03-31},{2023-06-01,Fibra,P-002,2025-03-31},{2023-09-11,TV,P-003,4000-03-31},{2023-04-01,Segunda línea - Telefonía,P-004,2027-03-31},{2023-09-01,Pack Fútbol,P-005,2030-03-31},{2023-06-01,Segunda línea - Fibra,P-006,2030-03-31}]",,True,1.0,True,Silver
44,Roshelle,Yurikov,ryurikov17@spotify.com,,16590-255,"[{2023-04-01,Telefonía,P-001,2025-03-31}",,True,1.0,False,
45,Hayes,Casswell,hcasswell18@geocities.jp,,41163-607,"[{2023-04-01,Telefonía,P-001,2025-03-31}",,False,1.0,False,
46,Larina,Grayham,lgrayham19@whitehouse.gov,,63304-774,"[{2023-04-01,Telefonía,P-001,2025-03-31}",,False,1.0,False,
47,Jaimie,Bexley,,,0409-3814,"[{2023-04-01,Telefonía,P-001,2025-03-31}",,True,1.0,False,
48,Edythe,Betjes,ebetjes1b@cbslocal.com,,55312-886,"[{2023-04-01,Telefonía,P-001,2024-03-31},{2023-06-01,Fibra,P-002,2025-03-31},{2023-09-11,TV,P-003,4000-03-31},{2023-04-01,Segunda línea - Telefonía,P-004,2027-03-31},{2023-09-01,Pack Fútbol,P-005,2030-03-31},{2023-06-01,Segunda línea - Fibra,P-006,2030-03-31}]",,False,1.0,True,Silver
49,Bonni,Dow,bdow1c@dropbox.com,,36987-1489,"[{2023-04-01,Telefonía,P-001,2025-03-31}",,True,,False,
50,Walliw,Clempton,wclempton1d@theglobeandmail.com,Female,10742-8598,"[{2023-04-01,Telefonía,P-001,2024-03-31},{2023-06-01,Fibra,P-002,2025-03-31},{2023-09-11,TV,P-003,4000-03-31},{2023-04-01,Segunda línea - Telefonía,P-004,2027-03-31},{2023-09-01,Pack Fútbol,P-005,2030-03-31},{2023-06-01,Segunda línea - Fibra,P-006,2030-03-31}]",,False,0.0,True,Gold
51,Trina,Kaiser,tkaiser1e@istockphoto.com,,43742-0172,"[{2023-04-01,Telefonía,P-001,2024-03-31},{2023-06-01,Fibra,P-002,2025-03-31},{2023-09-11,TV,P-003,4000-03-31},{2023-04-01,Segunda línea - Telefonía,P-004,2027-03-31},{2023-09-01,Pack Fútbol,P-005,2030-03-31},{2023-06-01,Segunda línea - Fibra,P-006,2030-03-31}]",,False,0.0,True,Gold
52,Murdock,Chaters,mchaters1f@microsoft.com,,36800-256,"[{2023-04-01,Telefonía,P-001,2024-03-31},{2023-06-01,Fibra,P-002,2025-03-31},{2023-09-11,TV,P-003,4000-03-31},{2023-04-01,Segunda línea - Telefonía,P-004,2027-03-31},{2023-09-01,Pack Fútbol,P-005,2030-03-31},{2023-06-01,Segunda línea - Fibra,P-006,2030-03-31}]",,True,1.0,True,Silver
53,Karole,Hevner,,,11489-087,"[{2023-04-01,Telefonía,P-001,2025-03-31}",,True,0.0,False,
54,Clo,Smither,csmither1h@histats.com,,33342-077,"[{2023-04-01,Telefonía,P-001,2024-03-31},{2023-06-01,Fibra,P-002,2025-03-31},{2023-09-11,TV,P-003,4000-03-31},{2023-04-01,Segunda línea - Telefonía,P-004,2027-03-31},{2023-09-01,Pack Fútbol,P-005,2030-03-31},{2023-06-01,Segunda línea - Fibra,P-006,2030-03-31}]",,True,0.0,True,Diamond
55,Sabra,MacClancey,smacclancey1i@princeton.edu,,42291-656,"[{2023-04-01,Telefonía,P-001,2024-03-31},{2023-06-01,Fibra,P-002,2025-03-31},{2023-09-11,TV,P-003,4000-03-31},{2023-04-01,Segunda línea - Telefonía,P-004,2027-03-31},{2023-09-01,Pack Fútbol,P-005,2030-03-31},{2023-06-01,Segunda línea - Fibra,P-006,2030-03-31}]",,True,0.0,True,Platinum
56,Fedora,Fronczak,ffronczak1j@ed.gov,,0781-3173,"[{2023-04-01,Telefonía,P-001,2025-03-31}",,False,1.0,False,
57,Maude,Padula,mpadula1k@businessinsider.com,Female,0574-4103,"[{2023-04-01,Telefonía,P-001,2025-03-31}",,True,1.0,False,
58,Hildegarde,Yushkov,hyushkov1l@ed.gov,Female,67147-221,"[{2023-04-01,Telefonía,P-001,2024-03-31},{2023-06-01,Fibra,P-002,2025-03-31},{2023-09-11,TV,P-003,4000-03-31},{2023-04-01,Segunda línea - Telefonía,P-004,2027-03-31},{2023-09-01,Pack Fútbol,P-005,2030-03-31},{2023-06-01,Segunda línea - Fibra,P-006,2030-03-31}]",75737.0,True,0.0,True,Gold
59,Ezechiel,Conichie,econichie1m@storify.com,,0904-0304,"[{2023-04-01,Telefonía,P-001,2024-03-31},{2023-06-01,Fibra,P-002,2025-03-31},{2023-09-11,TV,P-003,4000-03-31},{2023-04-01,Segunda línea - Telefonía,P-004,2027-03-31},{2023-09-01,Pack Fútbol,P-005,2030-03-31},{2023-06-01,Segunda línea - Fibra,P-006,2030-03-31}]",,True,1.0,True,Gold
60,Asia,Rubinsaft,arubinsaft1n@wikipedia.org,Female,51452-005,"[{2023-04-01,Telefonía,P-001,2025-03-31}",,False,1.0,False,
61,Phillipp,Dumbrell,pdumbrell1o@flickr.com,,41520-092,"[{2023-04-01,Telefonía,P-001,2025-03-31}",,False,0.0,False,
62,Gustave,Brimelow,gbrimelow1p@buzzfeed.com,Bigender,60512-6001,"[{2023-04-01,Telefonía,P-001,2024-03-31},{2023-06-01,Fibra,P-002,2025-03-31},{2023-09-11,TV,P-003,4000-03-31},{2023-04-01,Segunda línea - Telefonía,P-004,2027-03-31},{2023-09-01,Pack Fútbol,P-005,2030-03-31},{2023-06-01,Segunda línea - Fibra,P-006,2030-03-31}]",10956.0,True,1.0,True,Silver
63,Silva,Cockley,scockley1q@un.org,Genderqueer,66915-450,"[{2023-04-01,Telefonía,P-001,2025-03-31}",,True,0.0,False,
64,Marika,Barnet,,,49738-466,"[{2023-04-01,Telefonía,P-001,2025-03-31}",,False,0.0,False,
65,Johannah,McKibben,jmckibben1s@mac.com,,63868-131,"[{2023-04-01,Telefonía,P-001,2024-03-31},{2023-06-01,Fibra,P-002,2025-03-31},{2023-09-11,TV,P-003,4000-03-31},{2023-04-01,Segunda línea - Telefonía,P-004,2027-03-31},{2023-09-01,Pack Fútbol,P-005,2030-03-31},{2023-06-01,Segunda línea - Fibra,P-006,2030-03-31}]",41514.0,False,0.0,True,Gold
66,Lloyd,Trembey,,Male,10019-176,"[{2023-04-01,Telefonía,P-001,2025-03-31}",,False,1.0,False,
67,Malcolm,Sherry,msherry1u@ezinearticles.com,,59138-002,"[{2023-04-01,Telefonía,P-001,2025-03-31}",,True,0.0,False,
68,Hyacinthe,Grisewood,,,41268-368,"[{2023-04-01,Telefonía,P-001,2024-03-31},{2023-06-01,Fibra,P-002,2025-03-31},{2023-09-11,TV,P-003,4000-03-31},{2023-04-01,Segunda línea - Telefonía,P-004,2027-03-31},{2023-09-01,Pack Fútbol,P-005,2030-03-31},{2023-06-01,Segunda línea - Fibra,P-006,2030-03-31}]",,True,,True,Silver
69,Therine,Lavens,tlavens1w@facebook.com,,63941-352,"[{2024-24-01,Telefonía,P-001,4000-03-31}",,False,1.0,True,Bronze
70,Cybill,Baudain,,Female,55289-077,"[{2023-04-01,Telefonía,P-001,2025-03-31}",,False,,False,
71,Sayres,Shivlin,sshivlin1y@cbsnews.com,,68479-804,"[{2024-24-01,Telefonía,P-001,4000-03-31}",,False,1.0,True,Bronze
72,Leda,Bristoe,lbristoe1z@jugem.jp,,52125-758,"[{2023-04-01,Telefonía,P-001,2025-03-31}",,True,0.0,False,
73,Baudoin,Denk,bdenk20@nps.gov,,0591-5535,"[{2023-04-01,Telefonía,P-001,2024-03-31},{2023-06-01,Fibra,P-002,2025-03-31},{2023-09-11,TV,P-003,4000-03-31},{2023-04-01,Segunda línea - Telefonía,P-004,2027-03-31},{2023-09-01,Pack Fútbol,P-005,2030-03-31},{2023-06-01,Segunda línea - Fibra,P-006,2030-03-31}]",,True,1.0,True,Gold
74,Cozmo,Grene,cgrene21@sohu.com,Non-binary,55910-230,"[{2023-04-01,Telefonía,P-001,2024-03-31},{2023-06-01,Fibra,P-002,2025-03-31},{2023-09-11,TV,P-003,4000-03-31},{2023-04-01,Segunda línea - Telefonía,P-004,2027-03-31},{2023-09-01,Pack Fútbol,P-005,2030-03-31},{2023-06-01,Segunda línea - Fibra,P-006,2030-03-31}]",,False,1.0,True,Platinum
75,Lolly,Shannon,lshannon22@t-online.de,,37205-719,"[{2023-04-01,Telefonía,P-001,2025-03-31}",,True,0.0,False,
76,Molly,Shiels,,,52533-025,"[{2023-04-01,Telefonía,P-001,2024-03-31},{2023-06-01,Fibra,P-002,2025-03-31},{2023-09-11,TV,P-003,4000-03-31},{2023-04-01,Segunda línea - Telefonía,P-004,2027-03-31},{2023-09-01,Pack Fútbol,P-005,2030-03-31},{2023-06-01,Segunda línea - Fibra,P-006,2030-03-31}]",81831.0,True,1.0,True,Platinum
77,Micki,Lathan,mlathan24@booking.com,,65084-441,"[{2024-24-01,Telefonía,P-001,4000-03-31}",,True,1.0,True,Bronze
78,Karalynn,Kindon,,,0185-0152,"[{2023-04-01,Telefonía,P-001,2025-03-31}",28463.0,True,0.0,False,
79,Cornell,Cromwell,ccromwell26@marketwatch.com,Male,49738-272,"[{2023-04-01,Telefonía,P-001,2024-03-31},{2023-06-01,Fibra,P-002,2025-03-31},{2023-09-11,TV,P-003,4000-03-31},{2023-04-01,Segunda línea - Telefonía,P-004,2027-03-31},{2023-09-01,Pack Fútbol,P-005,2030-03-31},{2023-06-01,Segunda línea - Fibra,P-006,2030-03-31}]",,True,0.0,True,Silver
80,Laina,Hannen,lhannen27@icio.us,,0555-0902,"[{2024-24-01,Telefonía,P-001,4000-03-31}",67039.0,True,1.0,True,Bronze
81,Mattheus,Picard,mpicard28@webnode.com,,62742-4034,"[{2024-24-01,Telefonía,P-001,4000-03-31}",,True,0.0,True,Bronze
82,Lucais,Corn,lcorn29@dot.gov,,43857-0049,"[{2023-04-01,Telefonía,P-001,2025-03-31}",,False,1.0,False,
83,Lisabeth,Dengate,ldengate2a@va.gov,Genderqueer,43353-199,"[{2023-04-01,Telefonía,P-001,2024-03-31},{2023-06-01,Fibra,P-002,2025-03-31},{2023-09-11,TV,P-003,4000-03-31},{2023-04-01,Segunda línea - Telefonía,P-004,2027-03-31},{2023-09-01,Pack Fútbol,P-005,2030-03-31},{2023-06-01,Segunda línea - Fibra,P-006,2030-03-31}]",44963.0,False,0.0,True,Gold
84,Guillaume,Brettell,gbrettell2b@freewebs.com,,42291-200,"[{2023-04-01,Telefonía,P-001,2024-03-31},{2023-06-01,Fibra,P-002,2025-03-31},{2023-09-11,TV,P-003,4000-03-31},{2023-04-01,Segunda línea - Telefonía,P-004,2027-03-31},{2023-09-01,Pack Fútbol,P-005,2030-03-31},{2023-06-01,Segunda línea - Fibra,P-006,2030-03-31}]",,True,0.0,True,Gold
85,Job,Levington,jlevington2c@google.com,,58118-0371,"[{2023-04-01,Telefonía,P-001,2025-03-31}",,True,0.0,True,
86,Mindy,Le Pine,mlepine2d@cbc.ca,,0574-0866,"[{2023-04-01,Telefonía,P-001,2025-03-31}",,True,1.0,False,
87,Nelle,Swainger,nswainger2e@seesaa.net,,23155-244,"[{2023-04-01,Telefonía,P-001,2025-03-31}",,False,0.0,False,
88,Nissa,Cleeve,ncleeve2f@aboutads.info,,57844-713,"[{2023-04-01,Telefonía,P-001,2025-03-31}",65478.0,True,0.0,False,
89,Lynda,De Paoli,ldepaoli2g@washington.edu,,49967-893,"[{2023-04-01,Telefonía,P-001,2024-03-31},{2023-06-01,Fibra,P-002,2025-03-31},{2023-09-11,TV,P-003,4000-03-31},{2023-04-01,Segunda línea - Telefonía,P-004,2027-03-31},{2023-09-01,Pack Fútbol,P-005,2030-03-31},{2023-06-01,Segunda línea - Fibra,P-006,2030-03-31}]",,True,0.0,True,Diamond
90,Josie,Garman,jgarman2h@cdbaby.com,,55292-911,"[{2023-04-01,Telefonía,P-001,2024-03-31},{2023-06-01,Fibra,P-002,2025-03-31},{2023-09-11,TV,P-003,4000-03-31},{2023-04-01,Segunda línea - Telefonía,P-004,2027-03-31},{2023-09-01,Pack Fútbol,P-005,2030-03-31},{2023-06-01,Segunda línea - Fibra,P-006,2030-03-31}]",,True,0.0,True,Platinum
91,Aime,Maseres,,Polygender,0363-0831,"[{2024-24-01,Telefonía,P-001,4000-03-31}",,True,1.0,True,Bronze
92,Kinsley,Benzie,kbenzie2j@istockphoto.com,,51769-980,"[{2023-04-01,Telefonía,P-001,2025-03-31}",,True,1.0,False,
93,Celie,Martynov,cmartynov2k@google.fr,Female,11523-7306,"[{2023-04-01,Telefonía,P-001,2025-03-31}",,False,0.0,False,
94,Shaina,Rosetti,srosetti2l@hp.com,,43406-0127,"[{2023-04-01,Telefonía,P-001,2025-03-31}",,True,0.0,False,
95,Udale,Scarborough,uscarborough2m@etsy.com,,37808-556,"[{2023-04-01,Telefonía,P-001,2025-03-31}",,True,1.0,False,
96,Conrado,Romagnosi,cromagnosi2n@de.vu,,63029-322,"[{2023-04-01,Telefonía,P-001,2025-03-31}",,False,0.0,False,
97,Annissa,Furmage,afurmage2o@ftc.gov,,10544-215,"[{2023-04-01,Telefonía,P-001,2024-03-31},{2023-06-01,Fibra,P-002,2025-03-31},{2023-09-11,TV,P-003,4000-03-31},{2023-04-01,Segunda línea - Telefonía,P-004,2027-03-31},{2023-09-01,Pack Fútbol,P-005,2030-03-31},{2023-06-01,Segunda línea - Fibra,P-006,2030-03-31}]",,True,1.0,True,Silver
98,Bev,Sothcott,bsothcott2p@patch.com,,14550-512,"[{2023-04-01,Telefonía,P-001,2025-03-31}",52884.0,True,1.0,False,
99,Petronilla,Skey,pskey2q@imgur.com,,62802-172,"[{2023-04-01,Telefonía,P-001,2024-03-31},{2023-06-01,Fibra,P-002,2025-03-31},{2023-09-11,TV,P-003,4000-03-31},{2023-04-01,Segunda línea - Telefonía,P-004,2027-03-31},{2023-09-01,Pack Fútbol,P-005,2030-03-31},{2023-06-01,Segunda línea - Fibra,P-006,2030-03-31}]",,True,0.0,True,Gold
100,Lindsey,Wimmers,lwimmers2r@list-manage.com,,36987-3335,"[{2023-04-01,Telefonía,P-001,2025-03-31}",39780.0,True,1.0,False,
101,Fredi,Oriel,foriel2s@bluehost.com,Female,52031-0875,"[{2023-04-01,Telefonía,P-001,2025-03-31}",,False,1.0,False,
102,Glyn,Baxendale,gbaxendale2t@prweb.com,,60905-0010,"[{2023-04-01,Telefonía,P-001,2024-03-31},{2023-06-01,Fibra,P-002,2025-03-31},{2023-09-11,TV,P-003,4000-03-31},{2023-04-01,Segunda línea - Telefonía,P-004,2027-03-31},{2023-09-01,Pack Fútbol,P-005,2030-03-31},{2023-06-01,Segunda línea - Fibra,P-006,2030-03-31}]",94904.0,False,1.0,True,Silver
103,Hanson,Yeldham,hyeldham2u@rambler.ru,Male,43063-243,"[{2023-04-01,Telefonía,P-001,2025-03-31}",,True,0.0,False,
104,Donni,Guilloton,dguilloton2v@skype.com,Female,65044-1006,"[{2023-04-01,Telefonía,P-001,2025-03-31}",,True,1.0,False,
105,Panchito,Dorward,pdorward2w@hexun.com,Polygender,66184-115,"[{2023-04-01,Telefonía,P-001,2024-03-31},{2023-06-01,Fibra,P-002,2025-03-31},{2023-09-11,TV,P-003,4000-03-31},{2023-04-01,Segunda línea - Telefonía,P-004,2027-03-31},{2023-09-01,Pack Fútbol,P-005,2030-03-31},{2023-06-01,Segunda línea - Fibra,P-006,2030-03-31}]",,False,0.0,True,Gold
106,Edsel,Daout,edaout2x@google.fr,,49035-173,"[{2023-04-01,Telefonía,P-001,2025-03-31}",,False,1.0,False,
107,Arv,Pogson,apogson2y@parallels.com,,33992-1067,"[{2023-04-01,Telefonía,P-001,2025-03-31}",,False,1.0,False,
108,Carey,Jeffs,cjeffs2z@imdb.com,,49349-065,"[{2023-04-01,Telefonía,P-001,2025-03-31}",,True,0.0,False,
109,Clair,Nanson,cnanson30@angelfire.com,Male,0430-3230,"[{2024-24-01,Telefonía,P-001,4000-03-31}",79970.0,True,1.0,True,Bronze
110,Ephraim,Todaro,etodaro31@symantec.com,,17156-610,"[{2023-04-01,Telefonía,P-001,2025-03-31}",90971.0,False,1.0,False,
111,Maudie,Cocks,mcocks32@jigsy.com,,17270-504,"[{2023-04-01,Telefonía,P-001,2024-03-31},{2023-06-01,Fibra,P-002,2025-03-31},{2023-09-11,TV,P-003,4000-03-31},{2023-04-01,Segunda línea - Telefonía,P-004,2027-03-31},{2023-09-01,Pack Fútbol,P-005,2030-03-31},{2023-06-01,Segunda línea - Fibra,P-006,2030-03-31}]",,False,1.0,True,Platinum
112,Shena,Moodie,,,75854-302,"[{2023-04-01,Telefonía,P-001,2024-03-31},{2023-06-01,Fibra,P-002,2025-03-31},{2023-09-11,TV,P-003,4000-03-31},{2023-04-01,Segunda línea - Telefonía,P-004,2027-03-31},{2023-09-01,Pack Fútbol,P-005,2030-03-31},{2023-06-01,Segunda línea - Fibra,P-006,2030-03-31}]",,False,1.0,True,Gold
113,Leta,Trowler,ltrowler34@pinterest.com,,0268-0609,"[{2023-04-01,Telefonía,P-001,2025-03-31}",21890.0,True,0.0,False,
114,Dallas,Arnefield,darnefield35@mlb.com,,0615-7706,3,,False,1.0,True,Bronze
115,Venus,Pauleit,vpauleit36@nymag.com,,68180-559,"[{2023-04-01,Telefonía,P-001,2025-03-31}",,True,0.0,False,
116,Ardine,Hatherleigh,ahatherleigh37@fema.gov,,58987-001,"[{2023-04-01,Telefonía,P-001,2025-03-31}",,True,0.0,False,
117,Antin,Ingleton,,Male,36987-1560,"[{2023-04-01,Telefonía,P-001,2025-03-31}",,True,0.0,False,
118,Cole,Wallsworth,cwallsworth39@utexas.edu,Male,60429-286,"[{2023-04-01,Telefonía,P-001,2025-03-31}",,True,1.0,False,
119,Dorolice,Loude,dloude3a@google.com.hk,Female,40076-021,"[{2023-04-01,Telefonía,P-001,2025-03-31}",57025.0,False,,False,
120,Muffin,Rushton,mrushton3b@fda.gov,,63323-652,"[{2023-04-01,Telefonía,P-001,2025-03-31}",96724.0,True,0.0,False,
